purchase_month,delivered_orders,late_orders,late_rate,on_time_rate,avg_delay_days
2016-09,1,1,1.0,0.0,36.0
2016-10,270,2,0.007407407407407408,0.9925925925925926,-36.65925925925926
2016-12,1,0,0.0,1.0,-22.0
2017-01,750,22,0.029333333333333333,0.9706666666666667,-27.408
2017-02,1653,49,0.029643073200241985,0.970356926799758,-19.195402298850574
2017-03,2546,116,0.04556166535742341,0.9544383346425765,-12.327179890023567
2017-04,2303,151,0.06556665219279201,0.934433347807208,-12.97177594442032
2017-05,3545,106,0.029901269393511988,0.970098730606488,-13.497884344146685
2017-06,3135,95,0.030303030303030304,0.9696969696969697,-12.644338118022329
2017-07,3872,108,0.027892561983471075,0.9721074380165289,-12.47081611570248
2017-08,4193,122,0.02909611256856666,0.9709038874314333,-13.09754352492249
2017-09,4150,182,0.04385542168674699,0.9561445783132531,-11.348192771084337
2017-10,4478,187,0.041759714158106295,0.9582402858418937,-11.923403305046897
2017-11,7288,904,0.12403951701427003,0.8759604829857299,-8.123490669593853
2017-12,5513,411,0.07455106112824234,0.9254489388717576,-13.008525303827318
2018-01,7069,403,0.05700947800254633,0.9429905219974537,-12.934361295798556
2018-02,6556,927,0.14139719341061624,0.8586028065893838,-8.287675411836485
2018-03,7003,1328,0.18963301442239042,0.8103669855776096,-6.427673854062545
2018-04,6798,306,0.04501323918799647,0.9549867608120035,-12.89511621065019
2018-05,6749,443,0.06563935397836716,0.9343606460216328,-12.190991257964143
2018-06,6096,71,0.011646981627296589,0.9883530183727034,-19.244094488188978
2018-07,6156,208,0.03378817413905133,0.9662118258609487,-11.441520467836257
2018-08,6351,393,0.061880018894662256,0.9381199811053378,-8.162179184380413
