customer_state,delivered_orders,late_orders,on_time_rate,late_rate,avg_delay_days,median_delay_days
AL,397,85,0.7858942065491183,0.2141057934508816,-8.707808564231739,-10.0
MA,717,125,0.8256624825662483,0.17433751743375175,-9.571827057182706,-11.0
SE,335,51,0.8477611940298507,0.15223880597014924,-10.02089552238806,-13.0
PI,476,66,0.8613445378151261,0.13865546218487396,-11.306722689075631,-14.0
CE,1279,176,0.8623924941360438,0.1376075058639562,-10.80453479280688,-13.0
BA,3256,396,0.8783783783783784,0.12162162162162163,-10.79453316953317,-12.0
RJ,12353,1495,0.8789767667773011,0.12102323322269894,-11.766858253055938,-13.0
PA,946,106,0.8879492600422833,0.11205073995771671,-14.066596194503171,-16.0
ES,1995,214,0.8927318295739348,0.10726817042606517,-10.496240601503759,-12.0
PB,517,54,0.8955512572533849,0.10444874274661509,-13.261121856866538,-14.0
TO,274,27,0.9014598540145985,0.09854014598540146,-12.13138686131387,-13.0
MS,701,68,0.9029957203994294,0.09700427960057062,-11.052781740370898,-12.0
PE,1593,153,0.903954802259887,0.096045197740113,-13.293785310734464,-14.0
RN,474,44,0.9071729957805907,0.09282700421940929,-13.649789029535865,-15.0
SC,3547,291,0.9179588384550325,0.08204116154496757,-11.508316887510572,-13.0
GO,1957,128,0.9345937659683189,0.06540623403168115,-12.185487991824221,-13.0
RS,5344,325,0.9391841317365269,0.06081586826347305,-13.910366766467066,-15.0
MT,886,53,0.9401805869074492,0.05981941309255079,-14.363431151241535,-15.0
DF,2080,118,0.9432692307692307,0.05673076923076923,-12.048076923076923,-13.0
MG,11355,520,0.9542051959489212,0.04579480405107882,-13.240774988991634,-14.0
SP,40495,1820,0.9550561797752809,0.0449438202247191,-11.076379799975305,-11.0
PR,4923,199,0.9595774933983343,0.04042250660166565,-13.314239284988828,-14.0
RO,243,7,0.9711934156378601,0.02880658436213992,-20.102880658436213,-21.0
AM,145,4,0.9724137931034482,0.027586206896551724,-19.56551724137931,-19.0
